"Auteur";"Identifiant auteur";"Titre";"Directeur de these";"Directeur de these (nom prenom)";"Identifiant directeur";"Etablissement de soutenance";"Identifiant etablissement";"Discipline";"Statut";"Date de premiere inscription en doctorat";"Date de soutenance";"Langue de la these";"Identifiant de la these";"Accessible en ligne";"Publication dans theses.fr";"Mise a jour dans theses.fr";
Marjorie Dupre poiget;;Reflexion sur les sentiers sous marins comme outil de communication et d'interpretation dans l'education relative a l'environnement.;Francoise Albertini,Yves Girault;Albertini Francoise,Girault Yves;,;Corte;029473284;Sciences de l'information et de la communication;enCours;06-01-2006;;;s30621;non;26-09-2011;22-01-2015;
Richard Delaye;;La notion du cadre actif intangible dans le processus de reussite .;Jean-Marie Peretti,Bernard Fustier;Peretti Jean-Marie,Fustier Bernard;027064867,026877066;Corte;029473284;Sciences de gestion;enCours;17-01-2006;04-10-2006;;s30627;non;26-09-2011;04-04-2016;
Jamal Diwany;;Dynamique sectorielle, implication organisationnelle et intention de part : etude contextualisee des comportements des salaries cadres des compagnies d'assurances au maroc.;Jean-Marie Peretti;Peretti Jean-Marie;027064867;Corte;029473284;Sciences de gestion;enCours;18-01-2007;;;s30631;non;26-09-2011;04-04-2016;
Julie Debaveye;;Statut de l'expert et criteres d'evaluation de l'expertise;Bernard Lamizet;Lamizet Bernard;;Lyon 2;02640334X;Sciences de l'information et de la communication;enCours;05-11-2007;29-11-2012;;s30673;non;26-09-2011;04-04-2016;
Jose Miguel Calderon lopez;;L'expropriation indirecte de l'investisseur dans l'arbitrage international;Charles Jarrosson;Jarrosson Charles;075166836;Paris 2;026403145;Droit international;enCours;01-11-2005;;;s26140;non;26-09-2011;04-04-2016;
Isabelle Chauvin;;Le mythe de la metamorphose dans les recits courts (contes et nouvelles) fantastiques quebecois des dix-neuvieme et vingtieme siecles.;Arlette Bouloumie,Pierre Rajotte;Bouloumie Arlette,Rajotte Pierre;029037441,;Angers;026402920;Etudes nord-americaines;enCours;01-06-2005;;;s26142;non;26-09-2011;05-04-2016;
Maria del rosario Chavez aguilar;;Strategie d'apprentissage et contexte d'enseignement : etude de la salle de classe de fle.;Marie-josee Gremmo;Gremmo Marie-josee;;Universite de Lorraine;157040569;Sciences de l'education;enCours;01-02-2006;;;s26171;non;26-09-2011;28-06-2013;
Sylvie Champion;;Analyse des dispositifs des emissions televisees consacrees a la litterature.;Roger Viry-Babel;Viry-Babel Roger;028811658;Universite de Lorraine;157040569;Sciences de l'information et de la communication;enCours;01-11-2005;;;s26172;non;26-09-2011;05-04-2016;
Celine Calif;;Museologie des questions sensibles.;Daniel Jacobi,Hana Gottesdiener;Jacobi Daniel,Gottesdiener Hana;026932741,;Avignon;026369044;Sciences de l'information et de la communication;enCours;01-02-2006;22-06-2012;;s26175;non;26-09-2011;03-04-2013;
Maddalena Colombo;;La poesie et l'exegese dans l'in genesin du pseudo-hilaire.;Philippe Rousseau,Gabriella Moretti;Rousseau Philippe,Moretti Gabriella;034308180,069551839;Lille 3;026404524;Etudes latines et neo-latines;enCours;01-11-2005;04-03-2008;;s26199;non;26-09-2011;03-04-2016;
Rachid Chalal;;Methode pour le management des risques dans un projet de reponse a appel d'offre.;Anne-marie Alquier;Alquier Anne-marie;;Toulouse 1;026404354;Mathematiques et informatique appliquees aux sciences sociales (miass);enCours;01-10-2005;;;s26204;non;26-09-2011;22-01-2015;
Ilaria Bruno;;Deux poetes francophones de tunisie : chams nadir et amina said.;Charles Bonn;Bonn Charles;;Lyon 2;02640334X;Litteratures et civilisations comparees;enCours;01-02-2006;16-06-2008;;s21300;non;26-09-2011;30-03-2016;
Mathilde Brissonnet;;Encore un Petit Chaperon Rouge ? Les transpositions du conte a l'usage de la litterature de jeunesse a l'epreuve du monde moderne.raphiques d'un conte du dix-septieme siecle a nos jours.;Denis Mellier;Mellier Denis;;Poitiers;026403765;Litteratures et civilisations comparees;enCours;01-05-2006;21-12-2012;;s21302;non;26-09-2011;30-01-2013;
Thibaut Bouchoudjian;;Le principe de complementarite entre la cour penale internationale et les juridictions nationales;Charalambos Apostolidis;Apostolidis Charalambos;;Dijon;02819005X;Droit;enCours;;22-11-2013;fr;s21363;non;26-09-2011;12-12-2013;
Nader Bani;;L'emploi du subjonctif dans quelques oeuvres francaises modernes;Teddy Arnavielle;Arnavielle Teddy;078661110;Montpellier 3;026404702;Sciences du langage;enCours;30-09-2006;15-12-2012;;s21364;non;26-09-2011;22-01-2013;
Julie Bordes;;Edition et etude du manuscrit arundel 334.;Stephen Morrison;Morrison Stephen;;Poitiers;026403765;Etudes anglophones;enCours;01-10-2006;;;s21376;non;26-09-2011;26-01-2012;
Maxence Chambon;;Le conflit de lois dans l'espace et le droit administratif.;Benoit Plessix;Plessix Benoit;060107774;Universite de Lorraine;157040569;Droit public;enCours;16-11-2007;28-11-2013;;s27464;non;26-09-2011;05-04-2016;
Jean-aldric Collinot;;Histoire des ventes aux encheres du xviiie siecle a nos jours.;Virginie Lemonier-lesage;Lemonier-lesage Virginie;;Universite de Lorraine;157040569;Histoire du droit et des institutions;enCours;19-03-2008;;;s27488;non;26-09-2011;28-06-2013;
Asme amina Boutouizera;;De la monnaie nombre a l'argent : la fonction de reserve de valeur a la lumiere de la these de l'endogeneite de la monnaie;Jean luc Bailly;Bailly Jean luc;;Dijon;02819005X;Sciences economiques;enCours;25-09-2007;10-12-2013;;s22183;non;26-09-2011;24-06-2015;
Yann Bedzigui;;La normalisation de la relation euro-africaine (2000-2008) : dune logique de developpement a une logique globale;Serge Sur;Sur Serge;027151824;Paris 2;026403145;Science politique;enCours;01-09-2005;30-04-2014;;s20853;non;26-09-2011;04-04-2016;
Christ-severin Boundzanga;;Desobeissance civile, justice et democratie autour de l'oeuvre de john rawls.;Jean-Claude Bourdin;Bourdin Jean-Claude;032088043;Poitiers;026403765;Philosophie (metaphysique, epistemologie, esthetique);enCours;01-10-2005;;;s20860;non;26-09-2011;04-04-2016;
Jean de dieu Bissagou;;Societe politique et etat dans l'oeuvre de john locke.;Jean-Claude Bourdin;Bourdin Jean-Claude;032088043;Poitiers;026403765;Philosophie (metaphysique, epistemologie, esthetique);enCours;01-11-2005;;;s20862;non;26-09-2011;04-04-2016;
Sylvaine Poujade-baltazard (Baltazard);;Les ''variae'' de cassiodore : etude litteraire.;Marc Reydellet;Reydellet Marc;027096858;Rennes 2;054447658;Etudes latines et neo-latines;enCours;01-07-2005;;;s20922;non;26-09-2011;22-01-2015;
Alice Bonandini;;L'apocolocyntosis de seneque : un commentaire.;Alain Deremetz,Gabriella Moretti;Deremetz Alain,Moretti Gabriella;034499369,;Lille 3;026404524;Etudes latines et neo-latines;enCours;01-10-2005;09-11-2007;;s20926;non;26-09-2011;03-04-2016;
Ahmed Bhar;;Le droit des societes au service de l'investissement etranger en tunisie.;Jean-pierre Marty;Marty Jean-pierre;;Toulouse 1;026404354;Droit prive;enCours;10-10-2008;;;s23099;non;26-09-2011;22-01-2015;
Jeremie Bacosse;;Influence respective de la civil law et de la common law en droit mixte mauricien du travail.;Alain Pousson;Pousson Alain;030219795;Toulouse 1;026404354;Droit prive;enCours;10-10-2008;;;s23100;non;26-09-2011;22-01-2015;
Salamatou Boureima maiguizo;;Prevention et repression de la criminalite organisee dans l'espace uemoa.;Corinne Mascala;Mascala Corinne;034342389;Toulouse 1;026404354;Droit prive;enCours;01-10-2008;;;s23134;non;26-09-2011;22-01-2015;
Beatrice Barrau;;De la mutation de l'occupation des espaces : approche juridique d'une prospective environnementale.;Pierre Galan;Galan Pierre;029963796;Toulouse 1;026404354;Droit public;enCours;01-10-2008;;;s23137;non;26-09-2011;22-01-2015;
Julien Boyer;;La frontiere publique/prive en matiere de defense: les relations entre l'etat et les societes militaires privees, ses implications.;Francois Dieu;Dieu Francois;;Toulouse 1;026404354;Science politique;enCours;01-10-2007;;;s23151;non;26-09-2011;22-01-2015;
Younes Bekkar;;Reconfiguration du conseil technique et modes d'acces aux ressources en conseil des agriculteurs au Maroc : cas des secteurs laitier et maraicher dans le Sais;Claude Compagnone;Compagnone Claude;;Dijon;02819005X;Sociologie, demographie;enCours;17-10-2008;14-12-2015;;s23159;non;26-09-2011;23-12-2015;
Carole Bourdin;;Le systeme de sante apprehende au travers du prisme de prevention-sante au travail.;Isabelle Poirot-Mazeres;Poirot-Mazeres Isabelle;118251856;Toulouse 1;026404354;Droit medical;enCours;01-10-2008;;;s23193;non;26-09-2011;05-04-2016;
Catherine Sommer (Bucumi);;Gestion de la qualite totale et mesure de la performance : Examen critique de leurs relations a l'aune des pratiques dans les industries agroalimentaires.;Christine Pochet,Daniel Thiel,Pascal Barillot;Pochet Christine,Thiel Daniel,Barillot Pascal;,030237505,;Nantes;026403447;Sciences de gestion;enCours;03-10-2006;07-02-2012;;s22189;non;26-09-2011;27-02-2012;
Oula Ben hassine;;Apport de l'approche des capabilites dans l'etude de la pauvrete et du developpement.;Rene Sandretto;Sandretto Rene;027121844;Lyon 2;02640334X;Sciences economiques;enCours;01-10-2007;19-12-2008;;s22661;non;26-09-2011;30-03-2016;
Katell Luguern (Botrel);;De l'insecurite a la securite routiere : apport de la theorie du comportement planifie.;Alain Somat;Somat Alain;052202119;Rennes 2;054447658;Psychologie;enCours;20-03-2008;;;s22691;non;26-09-2011;22-01-2015;
Jacques Bibrac;;La pensee christologique de john milbank et son arriere-plan philosophique.;Marc Boss;Boss Marc;069487545;Montpellier 3;026404702;Philosophie (metaphysique, epistemologie, esthetique);enCours;07-01-2008;;;s22738;non;26-09-2011;22-01-2015;
Hind Bakkich;;La politique etrangere de l'iran avec la russie et les pays emergents : les aspirations multipolaires de la republique islamique;Michel Berges;Berges Michel;029528410;Toulouse 1;026404354;Science politique;enCours;30-11-2010;;;s24952;non;26-09-2011;05-04-2016;
Tereza Pinto-abbadie (Costa da silva pinto);;Responsabilite et subjectivation du discours : propositions psychanalytiques pour un traitement possible de la psychose et de la perversion;Christian Hoffmann;Hoffmann Christian;;Poitiers;026403765;Psychanalyse;enCours;23-10-2006;;;s26662;non;26-09-2011;22-01-2015;
El hadji arona Cisse;;Etude sur la cooperation en matiere de gestion des services de l'eau potable et d'assainissement dans le cadre de la cooperation internationale decentralisee : le cas du senegal et de la france.;Catherine Baron;Baron Catherine;083933204;Toulouse 1;026404354;Sciences economiques;enCours;06-11-2006;;;s26663;non;26-09-2011;04-04-2016;
Mathilde Bertrand;;Photographie independante radicale en Angleterre : pratiques militantes et theorie critique dans les annees 1970 et 1980;Liliane Louvel,Cornelius Crowley;Louvel Liliane,Crowley Cornelius;032546408,057608601;Poitiers;026403765;Etudes anglophones;enCours;30-12-2008;22-11-2013;;s23570;non;26-09-2011;20-03-2014;
Alina Caileanu (Braescu);;L'image de juif dans la presse de Roumanie (1900-1940). Une recherche comparee;Carol Iancu,Florin alexandru Platon;Iancu Carol,Platon Florin alexandru;,;Montpellier 3;026404702;Histoire des religions;enCours;15-12-2008;23-09-2011;;s23635;non;26-09-2011;06-02-2012;
Julie Benchetrit;;La nouvelle politique pharmaceutique de l'union europeenne;Nathalie De grove - valdeyron;De grove - valdeyron Nathalie;;Toulouse 1;026404354;Droit communautaire;enCours;01-10-2009;;;s24003;non;26-09-2011;22-01-2015;
Alexandra Bezert;;La pensee symbolique dans la fondation de l'identite insulaire : l'exemple de la corse.;Bruno Garnier,Dumenica Verdoni;Garnier Bruno,Verdoni Dumenica;050379402,075937093;Corte;029473284;Litteratures francaise et francophone;enCours;13-11-2009;;;s24011;non;26-09-2011;05-04-2016;
Julien Bringuier;;Le roman post 11 septembre aux etats unis;Madelena Gonzalez;Gonzalez Madelena;069092761;Avignon;026369044;Etudes anglophones;enCours;15-12-2008;27-06-2014;;s24015;non;26-09-2011;16-01-2015;
Jill Brumier;;Le declenchement de l'action penale internationale;Carlo Santulli;Santulli Carlo;057455325;Paris 2;026403145;Droit international;enCours;24-11-2009;;;s24039;non;26-09-2011;04-04-2016;
Franck Burgan;;Le commerce des produits du corps humain;Didier Krajeski;Krajeski Didier;06990801X;Toulouse 1;026404354;Droit prive;enCours;01-11-2009;;;s24045;non;26-09-2011;22-01-2015;
Thanin Busayarat;;Les droits et obligations des communes dans la gestion, la preservation et l'utilisation des ressources naturelles et la sauvegarde de l'environnement en thailande.;Florence Crouzatier-Durand,Vishnu Varunyou;Crouzatier-Durand Florence,Varunyou Vishnu;070488126,033315809;Toulouse 1;026404354;Droit public;enCours;15-03-2010;;;s24491;non;26-09-2011;05-04-2016;
Maxime Boidy;;Une iconologie politique du voilement. Sociologie et culture visuelle du black bloc;Pascal Hintermeyer;Hintermeyer Pascal;;Strasbourg;131056549;Sociologie, demographie;enCours;;26-09-2014;fr;s24514;non;26-09-2011;07-10-2014;
Charlotte Bouvier;;Le droit et la memoire des crimes de guerre et des crimes contre l'humanite, commis au cours et depuis la seconde guerre mondiale. comparaison allemagne - france;Michel Masse,Bernadette Aubert;Masse Michel,Aubert Bernadette;,;Poitiers;026403765;Droit penal et sciences criminelles;enCours;07-10-2009;;;s24533;non;26-09-2011;14-05-2012;
Julia Chanut;;Italo calvino et l'imaginaire.;Myriam Carminati;Carminati Myriam;052450074;Montpellier 3;026404702;Etudes italiennes;enCours;01-11-2005;;;s26212;non;26-09-2011;22-01-2015;
Nicolas Comyn;;Le diagnostic de la psychose, un enjeu dans la clinique d'hier et d'aujourd'hui.;Jean-Claude Maleval;Maleval Jean-Claude;027003965;Rennes 2;054447658;Psychologie;enCours;10-11-2006;;;s26730;non;26-09-2011;04-04-2016;
Anais Guerin (Chapel);;Les carrieres comme acteurs du developpement durable a l'echelle locale.;Herve Regnauld;Regnauld Herve;028822277;Rennes 2;054447658;Geographie;enCours;10-11-2006;;;s26744;non;26-09-2011;05-04-2016;
Thierno hady Camara;;Analyse de la filiere riz au mali comme moteur du developpement economique : analyse par la methodologie de l'intelligence economique.;Camille Baulant;Baulant Camille;050501461;Angers;026402920;Sciences economiques;enCours;01-12-2006;;;s26772;non;26-09-2011;09-10-2012;
Ana del rosario Bernuy galvez;;Tourisme durable en zone deficitaire : le massif pyreneen.;Alet Valero;Valero Alet;081684916;Toulouse 2;026403994;Etudes hispaniques;enCours;01-10-2010;;;s25336;non;26-09-2011;04-04-2016;
Annabelle Canal;;Etude comparative de la violence en milieu scolaire : pratiques et representations de ce phenomene.;Maurice Duval;Duval Maurice;;Montpellier 3;026404702;Ethnologie;enCours;01-11-2004;;;s25773;non;26-09-2011;22-01-2015;
Xiaona Chen;;L'avenir de la communication universitaire sino-francaise. les etudiants chinois en france.;Armel Huet;Huet Armel;026927144;Rennes 2;054447658;Sociologie;enCours;01-11-2004;;;s25787;non;26-09-2011;22-01-2015;
Francesco Corsini;;Vladimir jankelevitch, lecteur de bergson.;Frederic Worms,Adriano Fabris;Worms Frederic,Fabris Adriano;031296971,028575040;Lille 3;026404524;Philosophie (metaphysique, epistemologie, esthetique);enCours;01-11-2004;09-11-2006;;s25825;non;26-09-2011;04-04-2016;
Berangere Cousin;;Edition, critique, traduction, etude litteraire et commentaire de l'iconographie du mortifiement de vaine plaisance de rene d'anjou (1409-1480) d'apres les onze manuscrits recenses a ce jour.;Gerard Jacquin;Jacquin Gerard;;Angers;026402920;Litterature medievale;enCours;01-12-2004;;;s25831;non;26-09-2011;22-01-2015;
Clothilde Conrardy;;Les politiques locales pour l'aide au developpement de la recherche universitaire.;Jean-Baptiste Humeau;Humeau Jean-Baptiste;070415471;Angers;026402920;Geographie;enCours;01-01-2005;;;s25841;non;26-09-2011;05-04-2016;
Yue Cong;;L'art du mouvement au cinema et en photographie.;Alain-Alcide Sudre;Sudre Alain-Alcide;031019064;Montpellier 3;026404702;Etudes cinematographiques et audiovisuel;enCours;01-09-2005;;;s26220;non;26-09-2011;05-04-2016;
Monica maria Correa zabala;;Marche du travail des enseignants et organisation du systeme educatif : remuneration, competences et performances des enseignants.;Jean-Michel Plassard;Plassard Jean-Michel;027076091;Toulouse 1;026404354;Sciences economiques;enCours;01-10-2005;;;s26226;non;26-09-2011;05-04-2016;
Alain Cardon;;Preliminaires a une lecture du concept de reel dans l'enseignement de jacques lacan.;Jean-Christophe Goddard;Goddard Jean-Christophe;029103622;Poitiers;026403765;Philosophie (metaphysique, epistemologie, esthetique);enCours;01-11-2005;;;s26247;non;26-09-2011;04-04-2016;
Jeremie Chaeffer;;Justice et efficacite.;Xavier Henry;Henry Xavier;;Universite de Lorraine;157040569;Droit prive;enCours;01-06-2006;;;s26271;non;26-09-2011;28-06-2013;
Muriel Copeaux (Caro);;Le changement de langue et l'ecriture chez les ecrivains plurilingues.;Jean-Marie Prieur;Prieur Jean-Marie;034564918;Montpellier 3;026404702;Sciences du langage;enCours;01-11-2005;;;s26284;non;26-09-2011;04-04-2016;
Diego Cortes delgado;;Nature et comportement economique de l'information et de la connaissance.;Gabriel Colletis;Colletis Gabriel;030843588;Toulouse 1;026404354;Sciences economiques;enCours;01-10-2005;;;s26294;non;26-09-2011;22-01-2015;
Yohann Boscher;;Les bretagnes musicales au commencement du vingt et unieme siecle : authenticite, hybridation, innovation.;Francis Favereau;Favereau Francis;029288940;Rennes 2;054447658;Etudes regionales (celtiques, corses, ...);enCours;01-09-2005;;;s20948;non;26-09-2011;22-01-2015;
Liouba Bouscant;;Charles koechlin(1867-1950) : un exemple d'intellectualite musicale en france dans la premiere moitie du xxe siecle;Christian Hauer,Lichel Duchesneau;Hauer Christian,Duchesneau Lichel;,;Lille 3;026404524;Musique et musicologie;enCours;01-11-2005;07-12-2011;;s21411;non;26-09-2011;03-04-2016;
Lucien Castex;;Le courrier electronique;Jerome Huet;Huet Jerome;028397584;Paris 2;026403145;Droit prive;enCours;01-10-2007;;;s27236;non;26-09-2011;05-05-2015;
Thiago Cunha cerqueira;;Deficit de legitimite verticale de l'etat bresilien;Bernard Labatut,Munis Ferreira;Labatut Bernard,Ferreira Munis;031939082,;Toulouse 1;026404354;Science politique;enCours;10-09-2007;;;s27237;non;26-09-2011;22-01-2015;
Jihane Chedouki;;La protection des biens culturels dans les pays arabes : etude de droit compare : le cas de l'Egypte et des pays du Maghreb;Marie Cornu,Philippe Gaudrat;Cornu Marie,Gaudrat Philippe;,031483925;Poitiers;026403765;Droit public;enCours;22-01-2008;;;s27238;non;26-09-2011;04-05-2012;
Gilles Christophe;;Le choix de la servitude ? le neoliberalisme et l'opinion britannique (1955-1990);Keith Dixon;Dixon Keith;;Lyon 2;02640334X;Etudes anglophones;enCours;10-09-2007;06-07-2012;;s27258;non;26-09-2011;04-02-2013;
Valerie Bernard;;La courte peine d'emprisonnement.;Francois Fourment;Fourment Francois;058631798;Universite de Lorraine;157040569;Droit penal et sciences criminelles;enCours;01-03-2005;;;s20500;non;26-09-2011;04-04-2016;
Riham Barbar;;Collusion a la vente aux encheres au second prix;Francoise Forges;Forges Francoise;;Paris 9;027787109;Sciences economiques;enCours;01-11-2004;11-06-2007;;s20532;non;26-09-2011;09-02-2012;
Mohamed Bachiri;;Mesurer l'impact de la formation continue realisee dans les entreprises du secteur industriel au maroc.;Jean-Marie Peretti;Peretti Jean-Marie;027064867;Corte;029473284;Sciences de gestion;enCours;01-11-2004;;;s20541;non;26-09-2011;04-04-2016;
Marie-helene Cellier (Briet);;Heritage de la morphogenese des religions monotheistes dans la condition feminine contemporaine.;Alain-Alcide Sudre;Sudre Alain-Alcide;031019064;Montpellier 3;026404702;Sciences de l'art et esthetique;enCours;01-10-2005;;;s20965;non;26-09-2011;05-04-2016;
Nathalie Besombes;;Influence de la religion sur le systeme socio-politique des sioux de la reserve de pine ridge de 1934 a nos jours.;Larry Portis;Portis Larry;034439641;Montpellier 3;026404702;Etudes nord-americaines;enCours;01-11-2005;;;s20973;non;26-09-2011;22-01-2015;
Helene Beuzit;;Etre parent et actif : de multiples enjeux partages au niveau local.;Raymonde Sechet;Sechet Raymonde;029713595;Rennes 2;054447658;Geographie;enCours;01-11-2005;;;s20989;non;26-09-2011;05-04-2016;
Bertrand Benattar;;Le probleme de l'ethique chez kant et bergson.;Gerhard Heinzmann;Heinzmann Gerhard;02832109X;Universite de Lorraine;157040569;Philosophie (metaphysique, epistemologie, esthetique);enCours;01-12-2005;;;s21004;non;26-09-2011;28-06-2013;
Brigitte Baudry;;Contexte social et cognitions autoreferees : le role de la rationalisation comportementale dans l'apprentissage.;Jean-Claude Croizet;Croizet Jean-Claude;07139611X;Poitiers;026403765;Psychologie;enCours;01-01-2006;;;s21006;non;26-09-2011;05-04-2016;
Thomas Bonnet;;La question du temps et de la liberte dans la philosophie de bergson.;Jean-Louis Vieillard-Baron;Vieillard-Baron Jean-Louis;027184447;Poitiers;026403765;Philosophie (metaphysique, epistemologie, esthetique);enCours;01-11-2005;;;s21009;non;26-09-2011;04-04-2016;
Christine Fonteneau (Baudin);;Roman, ecritures de la voix et representations de l'histoire dans l'oeuvre romanesque de bernard chambaz, richard millet et olivier rolin.;Bruno Blanckeman;Blanckeman Bruno;057059748;Rennes 2;054447658;Litteratures francaise et francophone;enCours;01-10-2005;;;s21019;non;26-09-2011;22-01-2015;
Yosr Benaissa (Bellamine);;Alterite et marginalite dans les oeuvres de Jean-Marie Gustave Le Clezio et Amin Maalouf;Arlette Bouloumie;Bouloumie Arlette;029037441;Angers;026402920;Litteratures francaise et francophone;enCours;01-02-2006;03-12-2013;;s21022;non;26-09-2011;05-04-2016;
Charlotte Billard;;Le jeu dans l'oeuvre en prose de louis aragon.;Jean-francois Durand;Durand Jean-francois;;Montpellier 3;026404702;Litteratures francaise et francophone;enCours;01-11-2005;;;s21033;non;26-09-2011;22-01-2015;
Elodie Berthoumieux;;Bilan de trois annees d'application de la loi du 26 mai 2004 portant reforme du divorce.;Thierry Gare;Gare Thierry;02991146X;Toulouse 1;026404354;Droit prive;enCours;01-10-2005;;;s21058;non;26-09-2011;05-04-2016;
Giuseppe Bardascino;;Cesare lombroso : etudes de cas;Perette-Cecile Buffaria,Giuseppe Restifo;Buffaria Perette-Cecile,Restifo Giuseppe;070412820,;Poitiers;026403765;Etudes italiennes;enCours;01-12-2008;;;s23204;non;26-09-2011;05-04-2016;
Elisabeth Soulassol (Beyrie);;La trilogie de abel posse : daimon, los perros del paraiso et el largo atardecer del caminante. une reecriture de l'histoire.;Fernando Moreno;Moreno Fernando;;Poitiers;026403765;Etudes hispano-americaines;enCours;01-12-2007;19-06-2013;;s23206;non;26-09-2011;20-03-2014;
Giovanni Borriero;;Le topos du 'livre-source' dans les romans francais du xiie et xiiie siecle.;Claudio Galderisi,Anna maria Babbi;Galderisi Claudio,Babbi Anna maria;032256795,;Poitiers;026403765;Litterature medievale;enCours;18-12-2006;09-12-2011;;s23215;non;26-09-2011;30-01-2012;
Soraya Boutayeb (Benyebdri);;'de la delinquance a la rebellion' : experience carcerale et mouvements sociaux aux etats-unis, 1955-1973.;Larry Portis;Portis Larry;034439641;Montpellier 3;026404702;Etudes nord-americaines;enCours;29-11-2006;;;s21952;non;26-09-2011;22-01-2015;
David Brunie;;Poitiers dans l'antiquite : archeologie et histoire;Jean Hiernard;Hiernard Jean;;Poitiers;026403765;Histoire ancienne;enCours;20-12-2007;;;s22311;non;26-09-2011;22-01-2015;
Ali Bagheri kaburagh;;Aspects du capital social en iran - etude de cas;Jean-Yves Trepos;Trepos Jean-Yves;031079075;Universite de Lorraine;157040569;Sociologie;enCours;07-01-2008;;;s22312;non;26-09-2011;04-04-2016;
Julie Bour;;Louis jacquinot, une figure de republicain modere : du poincarisme au gaullisme;Olivier Dard;Dard Olivier;03392208X;Universite de Lorraine;157040569;Histoire;enCours;08-01-2008;13-02-2015;;s22316;non;26-09-2011;04-04-2016;
Misbaou Boussari;;Diversite ethnique et conflit politique dans un pays du sud : la crise ivoirienne;Ahmed Boubeker;Boubeker Ahmed;029101298;Universite de Lorraine;157040569;Sociologie;enCours;08-01-2008;;;s22317;non;26-09-2011;04-04-2016;
Benoit Bazoge;;Les elites et la guerre de ciceron (milieu du 1er siecle av. j-c) a gallien (260-268 ap. j-c).;Christophe Badel;Badel Christophe;032494483;Rennes 2;054447658;Histoire;enCours;08-11-2007;;;s22332;non;26-09-2011;22-01-2015;
Casimir Beassoum;;Le sauvetage de l'entreprise en difficulte dans le droit OHADA des procedures collectives;Michel Moreau;Moreau Michel;;Poitiers;026403765;Droit prive;enCours;09-01-2008;30-01-2012;;s22334;non;26-09-2011;28-03-2012;
Elena dana Burduja;;Le role du systeme d'information de sante dans le reperage des bassins de sante et du financement de la sante - a partir de l'exemple de 2 pays des balkans en phase de transition (roumanie et turquie);Jean-Marie Rodrigues,Bernard Boureille;Rodrigues Jean-Marie,Boureille Bernard;06031835X,059863285;Saint Etienne;028209966;Sciences economiques;enCours;23-01-2008;03-02-2014;;s22848;non;26-09-2011;04-04-2016;
Sonia Bellit;;Les trajectoires professionnelles des salaries agricoles : entre precarite de statut et continuite de l'emploi;Cecile Detang dessendre;Detang dessendre Cecile;;Dijon;02819005X;Sciences economiques;enCours;02-11-2010;27-01-2015;;s24996;non;26-09-2011;24-06-2015;
Kais Bellara;;Le role des conventions collectives dans le droit du travail algerien et francais;Alain Pousson;Pousson Alain;030219795;Toulouse 1;026404354;Droit compare;enCours;27-10-2010;;;s25033;non;26-09-2011;22-01-2015;
Issa Badiane;;La protection des usagers des services bancaires;Corinne Houin st-alary;Houin st-alary Corinne;;Toulouse 1;026404354;Droit des affaires;enCours;27-10-2010;;;s25038;non;26-09-2011;22-01-2015;
Anastasia Bitha;;Le role de l'inter culturel dans les manuels approuves par le ministere hellenique de l'education nationale, pour l'enseignement/apprentissage du f.l.e. dans le secondaire des ecoles publiques depuis 1950 jusqu'aujourd'hui;Constantin Angelopoulos;Angelopoulos Constantin;109397495;Montpellier 3;026404702;Etudes grecques et neo-helleniques;enCours;18-03-2009;;;s23672;non;26-09-2011;05-04-2016;
Bruno Bur;;Les amours de ronsard : geneses et organisations;Jean Lecointe;Lecointe Jean;;Poitiers;026403765;Litteratures francaise et francophone;enCours;15-11-2009;;;s23717;non;26-09-2011;26-01-2012;
Joasha Boutault;;A Hard Nut to Crack. Mouvements syntaxiques et motivation semantique en anglais contemporain : les constructions "Tough" et moyennes.;Jean Chuquet,Jean-Charles Khalifa;Chuquet Jean,Khalifa Jean-Charles;05892986X,032373724;Poitiers;026403765;Etudes anglophones;enCours;15-11-2008;29-11-2012;;s23724;non;26-09-2011;06-04-2016;
Aline Branche seigeot;;Capital humain et competences de base des adultes : production et valorisation;Jean Bourdon,Jean francois Giret;Bourdon Jean,Giret Jean francois;,;Dijon;02819005X;Sc. Economiques;enCours;;26-11-2013;fr;s24111;non;26-09-2011;12-12-2013;
Audrey Bergugnath;;L'impact de l'enseignement d'une langue regionale, minoree et minorisee, sur les pratiques et les representations sociolinguistiques : l'exemple catalan et occitan en languedoc-roussillon.;Carmen Alen Garabato;Alen Garabato Carmen;052554252;Montpellier 3;026404702;Sciences du langage;enCours;01-09-2009;;;s24172;non;26-09-2011;05-04-2016;
Philippe Bouaillon;;Enseignement de la litterature a l'ecole : dans les soubassements de l'agir enseignant.;Jean charles Chabanne;Chabanne Jean charles;;Montpellier 3;026404702;Sciences de l'education;enCours;15-10-2009;;;s24175;non;26-09-2011;21-03-2012;
Gerardo Balderas olachea;;Questions de traductologie en francais-espagnol : analyse contrastive de la traduction des temps verbaux et des connecteurs;Jacques Bres;Bres Jacques;028744365;Montpellier 3;026404702;Sciences du langage;enCours;15-01-2010;;;s24204;non;26-09-2011;22-01-2015;
Ahmed Boulahabach;;Applications de la regionalisation avancee aux domaines de securites au maroc: conception d'un modele national de dispositif local de securite.;Francois Dieu;Dieu Francois;;Toulouse 1;026404354;Science politique;enCours;11-02-2010;;;s24590;non;26-09-2011;22-01-2015;
